,apoptosis,autophagy,ferroptosis,necroptosis,pyroptosis,others
APP,0.1044881673766681,0.028588872538577503,0.030745856647637394,0.22753769390467254,0.1255656443289716,1.0
PRKAR1A,0.03442158625418733,0.06618582119383613,0.03714882274097926,0.12008488401153318,0.09257461979575138,1.0
DSP,0.0625,0.0,0.0,0.0,0.0,1.0
RAD21,0.16218816101485484,0.003942865812230941,0.0050045670696888195,0.05917955615332885,0.06355496104364529,1.0
NCL,0.0,0.0,0.0,0.0,0.0,1.0
WDR1,0.0,0.0,0.0,0.0,0.0,1.0
AP2M1,0.0,0.0,0.0,0.0,0.0,1.0
CLTC,0.0,0.0,0.0,0.0,0.0,1.0
AP2B1,0.0,0.0,0.0,0.0,0.0,1.0
MLEC,0.0,0.0,0.0,0.0,0.0,1.0
LASP1,0.0,0.0,0.0,0.0,0.0,1.0
SF3B2,0.0,0.0,0.0,0.0,0.0,1.0
TMEM59,0.0,0.0,0.0,0.0,0.0,1.0
CSRP1,0.0,0.0,0.0,0.0,0.0,1.0
CALM3,0.0,0.0,0.0,0.0,0.0,1.0
MATR3,0.0,0.0,0.0,0.0,0.0,1.0
CAP1,0.0,0.0,0.0,0.0,0.0,1.0
PTGES3,0.0,0.0,0.0,0.0,0.0,1.0
WARS1,0.0,0.0,0.0,0.0,0.0,1.0
NDRG1,0.0,0.0,0.0,0.0,0.0,1.0
PFN1,0.0,0.0,0.0,0.0,0.0,1.0
PTPRF,0.0,0.0,0.0,0.0,0.0,1.0
YWHAZ,0.0625,0.0,0.0,0.0,0.0,1.0
SOD1,0.104968373177743,0.03672987965760566,0.05681761960677005,0.14277936291285664,0.0785585108351132,1.0
MARCKSL1,0.0,0.0,0.0,0.0,0.0,1.0
GLUL,0.02951056883871283,0.023842904966740422,0.012848139501289185,0.22326036847766872,0.07673193592628272,1.0
NUCB1,0.0,0.0,0.0,0.0,0.0,1.0
LDHA,0.040081564117625854,0.022559387853008914,0.014623835996685765,0.18526086609165027,0.09124246648894321,1.0
RACK1,0.0625,0.0,0.0,0.0,0.0,1.0
SSR2,0.0,0.0,0.0,0.0,0.0,1.0
P4HB,0.027347981718641588,0.015485644704206221,0.016713948095900714,0.24134839989219983,0.09689756473282585,1.0
SLC25A5,0.0522581429672041,0.04439174144462803,0.008958292657683603,0.1441777155441721,0.11059661808442267,1.0
PHB1,0.0,0.0,0.0,0.0,0.0,1.0
S100A11,0.0,0.0,0.0,0.0,0.0,1.0
CTSA,0.05022355464068286,0.028063580073468417,0.006489298972375256,0.07753680784632852,0.1264926452200858,1.0
TOMM20,0.0,0.0,0.0,0.0,0.0,1.0
CD63,0.033076588117117535,0.005667547289498832,0.02183535115105819,0.26844174177293917,0.1274124864954853,1.0
DNAJB1,0.0,0.0,0.0,0.0,0.0,1.0
UBE2D3,0.12343124170066569,0.04159080486033015,0.03635297429332117,0.19250243167659697,0.08406628844646792,1.0
XBP1,0.10175383827308909,0.020795762750349195,0.004748412737992244,0.31404280010584573,0.10248418508969658,1.0
SPTBN1,0.0374453220707555,0.02095187074928262,0.008552475900623793,0.1615898190558121,0.1576165873881259,1.0
LAPTM4A,0.0,0.0,0.0,0.0,0.0,1.0
RPL32,0.0,0.0,0.0,0.0,0.0,1.0
CD81,0.04749695034615871,0.02002185690279977,0.019780028199353122,0.07645740631706585,0.09421455531929912,1.0
PTTG1IP,0.0,0.0,0.0,0.0,0.0,1.0
GRN,0.0,0.0,0.0,0.0,0.0,1.0
HMGB1,0.0625,0.0625,0.0,0.0625,0.0625,1.0
GLO1,0.03963756509767552,0.04349724379231855,0.020884840131844506,0.04406671648628922,0.09517250457741958,1.0
UBE2L3,0.05537285960603115,0.06931256449131873,0.08058135568319091,0.22914101269080223,0.09221615858392841,1.0
SRSF11,0.0,0.0,0.0,0.0,0.0,1.0
SF3B3,0.0,0.0,0.0,0.0,0.0,1.0
HSPA9,0.0,0.0,0.0,0.0,0.0,1.0
YWHAQ,0.0625,0.0,0.0,0.0,0.0,1.0
DDX24,0.0,0.0,0.0,0.0,0.0,1.0
PPP2R1A,0.0,0.0,0.0,0.0,0.0,1.0
HK1,0.0461679565869552,0.030675642933912443,0.019400627659823436,0.18845270146930654,0.10322389645080485,1.0
KDELR2,0.0,0.0,0.0,0.0,0.0,1.0
NPC2,0.0,0.0,0.0,0.0,0.0,1.0
DYNLL1,0.0992673013245401,0.02987081903718959,0.025344966998324697,0.2889595618970984,0.06387564220280374,1.0
EEF1B2,0.0,0.0,0.0,0.0,0.0,1.0
LITAF,0.03130998306238675,0.022292722818981266,0.008464305499031103,0.27474226725955886,0.07913758780758047,1.0
PRKCSH,0.0,0.0,0.0,0.0,0.0,1.0
GOT2,0.03642801688195343,0.017226120155145647,0.00859480999968125,0.17265854523924326,0.09217927120234964,1.0
FKBP1A,0.04861506801768906,0.03423788989417953,0.011969235234150229,0.2159234156933767,0.0952518076052688,1.0
ACADVL,0.0,0.0,0.0,0.0,0.0,1.0
SKP1,0.06539698752750409,0.022760980770362663,0.023481477259928232,0.0825350713541115,0.13331353394514825,1.0
MAPRE1,0.0,0.0,0.0,0.0,0.0,1.0
RPL13A,0.3649886397864144,0.04347485980635642,0.013979286252289717,0.08781976089955335,0.07408239485383464,1.0
ACTR1A,0.10133648517665328,0.03817457949152808,0.09501243738293119,0.09386018337715175,0.09383925145023302,1.0
CAPRIN1,0.0321711802022972,0.017008361570912227,0.014446723458743647,0.06965015578132705,0.05415130166606546,1.0
PPP1CC,0.0,0.0,0.0,0.0,0.0,1.0
ACTR2,0.034009123176044875,0.03142544712422659,0.005342169640292137,0.2520664503822304,0.08632461107698032,1.0
PTP4A1,0.05845050995113843,0.026481845444668077,0.0004324363722471502,0.1925183620783404,0.11812065727532453,1.0
ARF3,0.0,0.0,0.0,0.0,0.0,1.0
GPX1,0.08909969767650112,0.021230499116502842,0.009195797692642248,0.1333359061542986,0.10190865105727412,1.0
PGK1,0.0431736515072194,0.019475488674815914,0.028834673804824712,0.17320524852302224,0.07176745036673618,1.0
SUMO3,0.0,0.0,0.0,0.0,0.0,1.0
RPS27,0.0,0.0,0.0,0.0,0.0,1.0
TPP1,0.0,0.0,0.0,0.0,0.0,1.0
GNB1,0.0,0.0,0.0,0.0,0.0,1.0
NUMA1,0.0,0.0,0.0,0.0,0.0,1.0
RAN,0.0,0.0,0.0,0.0,0.0,1.0
CAPN1,0.0625,0.0,0.0,0.0625,0.0,1.0
CALU,0.03674608983528273,0.042790513312905926,0.013833968279672617,0.1033244682772064,0.20584118735785545,1.0
NFE2L1,0.04849247040217333,0.028563069270526237,0.007692604264058186,0.1144584094774716,0.06376297550475506,1.0
ARL6IP5,0.0,0.0,0.0,0.0,0.0,1.0
DPYSL2,0.03680766757796218,0.01608379513970411,0.006281688218553235,0.217266248158753,0.1269717916856965,1.0
RPLP1,0.0,0.0,0.0,0.0,0.0,1.0
CTNNA1,0.0625,0.0,0.0,0.0,0.0,1.0
CTSD,0.0625,0.0625,0.0,0.0,0.0,1.0
MAT2A,0.0,0.0,0.0,0.0,0.0,1.0
LAMC1,0.0,0.0,0.0,0.0,0.0,1.0
PTMA,0.0,0.0,0.0,0.0,0.0,1.0
FAM120A,0.0,0.0,0.0,0.0,0.0,1.0
BZW1,0.0,0.0,0.0,0.0,0.0,1.0
ATF4,0.20760609896137988,0.06321815714734738,0.02235659491493196,0.0875770476749636,0.11808227226413592,1.0
RPS15A,0.0,0.0,0.0,0.0,0.0,1.0
ANXA5,0.03296801721241434,0.017631419673575153,0.010102593048230087,0.2234418277267737,0.09875449146340924,1.0
STMN1,0.03303213977568236,0.04033592206598792,0.005773386856207499,0.12609912835098164,0.09563994652753978,1.0
LRP1,0.036294037828798975,0.010212777437744687,0.019749150551625103,0.27588584312397,0.08283370665906437,1.0
PSMB7,0.0625,0.0,0.0,0.0,0.0,1.0
PEA15,0.0625,0.0,0.0,0.0,0.0,1.0
ECH1,0.0,0.0,0.0,0.0,0.0,1.0
ODC1,0.08121956750710546,0.09945010707804813,0.0,0.05953561895855269,0.054256223366146106,1.0
IQGAP1,0.0,0.0,0.0,0.0,0.0,1.0
XRCC6,0.09243129567872804,0.04109289045501598,0.031739902310221044,0.1305944609134791,0.07809969066435325,1.0
ACO2,0.03904311927749172,0.05474278203480221,0.01755551233592815,0.2066850847229678,0.08452353715597109,1.0
SPARCL1,0.0,0.0,0.0,0.0,0.0,1.0
MCL1,0.09746272485039263,0.03081808531088131,0.01873413480797399,0.1293742095736422,0.11452497879620113,1.0
HSPA1A,0.0,0.0,0.0,0.0,0.0,1.0
SARS1,0.0,0.0,0.0,0.0,0.0,1.0
TMBIM6,0.0625,0.0,0.0,0.0,0.0,1.0
LMAN2,0.0,0.0,0.0,0.0,0.0,1.0
HSPD1,0.0,0.0,0.0,0.0,0.0,1.0
ZYX,0.0,0.0,0.0,0.0,0.0,1.0
CIRBP,0.03179191280385396,0.03112353081915217,0.06476869025704092,0.2147804121643228,0.08667160146538225,1.0
CCT7,0.0,0.0,0.0,0.0,0.0,1.0
PSME1,0.0625,0.0,0.0,0.0,0.0,1.0
PAFAH1B1,0.0,0.0,0.0,0.0,0.0,1.0
RPS10,0.0,0.0,0.0,0.0,0.0,1.0
RPS15,0.0,0.0,0.0,0.0,0.0,1.0
PSMD8,0.0625,0.0,0.0,0.0,0.0,1.0
LAMP2,0.04524828571816619,0.08223650459553254,0.0010087781378971495,0.22544211646596538,0.15042055156223277,1.0
RPL29,0.0,0.0,0.0,0.0,0.0,1.0
GSTP1,0.04573219832304655,0.02553506750752721,0.018270148488795976,0.3814543812891862,0.07363458182303179,1.0
HYOU1,0.0,0.0,0.0,0.0,0.0,1.0
SNRPD2,0.0,0.0,0.0,0.0,0.0,1.0
PLOD1,0.03712970091572071,0.03351552126317495,0.010012509299187743,0.21741323866697645,0.0992450162142503,1.0
ZNF207,0.0,0.0,0.0,0.0,0.0,1.0
PSMD2,0.0625,0.0,0.0,0.0,0.0,1.0
SCD,0.053937511544640736,0.09265770783861907,0.15915823115861713,0.10415921992910676,0.09999058720621068,1.0
RAP1B,0.0,0.0,0.0,0.0,0.0,1.0
RPS21,0.0,0.0,0.0,0.0,0.0,1.0
BCAP31,0.10308681258827848,0.01740093479886229,0.0018399917152326487,0.16651781428927914,0.1335416984703386,1.0
CTSB,0.09640413306353253,0.0853696862110933,0.011511142663913766,0.28755824512931116,0.1160399222085785,1.0
KARS1,0.0,0.0,0.0,0.0,0.0,1.0
EPRS1,0.0,0.0,0.0,0.0,0.0,1.0
PRDX6,0.0,0.0,0.0,0.0,0.0,1.0
PPP1CA,0.03615478339052481,0.045191956739204724,0.026904914422056093,0.11767610844739973,0.09413898606976584,1.0
SARAF,0.0,0.0,0.0,0.0,0.0,1.0
AHCYL1,0.0625,0.0,0.0,0.0,0.0,1.0
IST1,0.0,0.0,0.0,0.0,0.0,1.0
GNB2,0.0,0.0,0.0,0.0,0.0,1.0
H2AZ1,0.0,0.0,0.0,0.0625,0.0,1.0
NCOR1,0.0,0.0,0.0,0.0,0.0,1.0
RPS8,0.0,0.0,0.0,0.0,0.0,1.0
