,apoptosis,autophagy,ferroptosis,necroptosis,pyroptosis,others
PTMA,0,0,0,0,0,1
FAM120A,0,0,0,0,0,1
BZW1,0,0,0,0,0,1
ATF4,1,0,0,0,0,1
RPS15A,0,0,0,0,0,1
ANXA5,0,0,0,0,0,1
STMN1,0,0,0,0,0,1
LRP1,0,0,0,0,0,1
PSMB7,1,0,0,0,0,1
PEA15,1,0,0,0,0,1
ECH1,0,0,0,0,0,1
ODC1,0,0,0,0,0,1
IQGAP1,0,0,0,0,0,1
XRCC6,0,0,0,0,0,1
ACO2,0,0,0,0,0,1
SPARCL1,0,0,0,0,0,1
MCL1,1,0,0,0,0,1
HSPA1A,0,0,0,0,0,1
SARS1,0,0,0,0,0,1
TMBIM6,1,0,0,0,0,1
LMAN2,0,0,0,0,0,1
HSPD1,0,0,0,0,0,1
ZYX,0,0,0,0,0,1
CIRBP,0,0,0,0,0,1
CCT7,0,0,0,0,0,1
PSME1,1,0,0,0,0,1
PAFAH1B1,0,0,0,0,0,1
RPS10,0,0,0,0,0,1
RPS15,0,0,0,0,0,1
PSMD8,1,0,0,0,0,1
LAMP2,0,1,0,0,0,1
RPL29,0,0,0,0,0,1
GSTP1,0,0,0,0,0,1
HYOU1,0,0,0,0,0,1
SNRPD2,0,0,0,0,0,1
PLOD1,0,0,0,0,0,1
ZNF207,0,0,0,0,0,1
PSMD2,1,0,0,0,0,1
SCD,0,0,0,0,0,1
RAP1B,0,0,0,0,0,1
RPS21,0,0,0,0,0,1
BCAP31,1,0,0,0,0,1
CTSB,1,1,0,0,0,1
KARS1,0,0,0,0,0,1
EPRS1,0,0,0,0,0,1
PRDX6,0,0,0,0,0,1
PPP1CA,0,0,0,0,0,1
SARAF,0,0,0,0,0,1
AHCYL1,1,0,0,0,0,1
IST1,0,0,0,0,0,1
GNB2,0,0,0,0,0,1
H2AZ1,0,0,0,1,0,1
NCOR1,0,0,0,0,0,1
RPS8,0,0,0,0,0,1
CNOT1,0,0,0,0,0,1
DHCR24,0,0,0,0,0,1
RAB11A,0,0,0,0,0,1
PSAP,0,0,0,0,0,1
RNF114,0,0,0,0,0,1
STRAP,0,0,0,0,0,1
S100A10,0,0,0,0,0,1
CCT8,0,0,0,0,0,1
NOP56,0,0,0,0,0,1
PSMB1,1,0,0,0,0,1
CCT4,0,0,0,0,0,1
EPAS1,0,0,0,0,0,1
DNAJA1,0,0,0,0,0,1
PSMD4,1,0,0,0,0,1
UQCRC2,0,0,0,0,0,1
CKB,0,0,0,0,0,1
RHOC,0,0,0,0,0,1
PGAM1,0,0,0,0,0,1
STAT1,0,0,0,1,0,1
SSR1,0,0,0,0,0,1
TRA2B,0,0,0,0,0,1
FKBP4,0,0,0,0,0,1
HDGF,0,0,0,0,0,1
OGA,0,0,0,0,0,1
M6PR,0,0,0,0,0,1
SELENOF,0,0,0,0,0,1
AHCY,0,0,0,0,0,1
PALLD,0,0,0,0,0,1
RPLP2,0,0,0,0,0,1
CCT3,0,0,0,0,0,1
EIF4A2,0,0,0,0,0,1
PPM1G,0,0,0,0,0,1
KTN1,0,0,0,0,0,1
SRPRA,0,0,0,0,0,1
PHC2,0,0,0,0,0,1
BTG1,0,0,0,0,0,1
KDELR1,0,0,0,0,0,1
LGALS3BP,0,0,0,0,0,1
SLC3A2,0,0,1,0,0,1
COX6A1,0,0,0,0,0,1
RPS23,0,0,0,0,0,1
TMED10,0,0,0,0,0,1
VCL,0,0,0,0,0,1
DCTN2,0,0,0,0,0,1
DEK,0,0,0,0,0,1
CALR,0,0,0,0,0,1
RPL8,0,0,0,0,0,1
RPL5,0,0,0,0,0,1
RERE,0,0,0,0,0,1
HSBP1,0,0,0,0,0,1
HMGN1,0,0,0,0,0,1
SEC31A,0,0,0,0,0,1
GLUD1,0,0,0,1,0,1
MLF2,0,0,0,0,0,1
RPS20,0,0,0,0,0,1
ARPC1A,0,0,0,0,0,1
CCND2,0,0,0,0,0,1
ATP6V0C,0,0,0,0,0,1
IMMT,0,0,0,0,0,1
SSRP1,0,0,0,0,0,1
SDCBP,0,0,0,1,0,1
FUS,0,0,0,0,0,1
SEPHS2,0,0,0,0,0,1
RPL31,0,0,0,0,0,1
UBA1,0,0,0,0,0,1
ABLIM1,0,0,0,0,0,1
ALDOA,0,0,0,0,0,1
PPIB,0,0,0,0,0,1
SERP1,0,0,0,0,0,1
TSPAN3,0,0,0,0,0,1
ACTA2,0,0,0,0,0,1
PPT1,0,0,0,0,0,1
TAX1BP1,1,1,0,0,0,1
MDH1,0,0,0,0,0,1
PDHA1,0,0,0,0,0,1
GNAS,0,0,0,0,0,1
ANXA6,0,0,0,0,0,1
CD59,0,0,0,0,0,1
SERPING1,0,0,0,0,0,1
HIF1A,1,1,0,0,0,1
TRIM28,0,0,0,0,0,1
SNX17,0,0,0,0,0,1
IPO7,0,0,0,0,0,1
CKAP4,0,0,0,0,0,1
AARS1,0,0,0,0,0,1
SSR4,0,0,0,0,0,1
CD9,0,0,0,0,0,1
HADHB,0,0,0,0,0,1
TXNIP,0,0,0,0,0,1
RPN1,0,0,0,0,0,1
ANXA1,0,0,0,0,0,1
PAICS,0,0,0,0,0,1
JUP,0,0,0,0,0,1
EIF1AX,0,0,0,0,0,1
YWHAH,1,0,0,0,0,1
DSTN,0,0,0,0,0,1
TAF7,0,0,0,0,0,1
EIF5B,0,0,0,0,0,1
CD99,0,0,0,0,0,1
LDHB,0,0,0,0,0,1
HNRNPH1,0,0,0,0,0,1
BLCAP,1,0,0,0,0,1
ADD3,0,0,0,0,0,1
HADH,0,0,0,0,0,1
PFKP,0,0,0,0,0,1
RAD23A,0,0,0,0,0,1
GNAI2,0,0,0,0,0,1
TGM2,0,0,0,0,0,1
DUSP1,0,0,0,0,0,1
RAB6A,0,0,0,0,0,1
RPS18,0,0,0,0,0,1
PLD3,0,0,0,0,0,1
ANP32A,0,0,0,0,0,1
PSMF1,1,0,0,0,0,1
HNRNPA0,0,0,0,0,0,1
GOLGB1,0,0,0,0,0,1
MYL9,0,0,0,0,0,1
STOM,0,0,0,0,0,1
RCN1,0,0,0,0,0,1
PABPC4,0,0,0,0,0,1
CYC1,0,0,0,0,0,1
PSMC2,1,0,0,0,0,1
MMP2,0,0,0,0,0,1
SF3B1,0,0,0,0,0,1
SMARCC1,0,0,0,0,0,1
SNU13,0,0,0,0,0,1
TM9SF2,0,0,0,0,0,1
SYNGR2,0,0,0,0,0,1
PIP4K2B,0,0,0,0,0,1
BCLAF1,1,0,0,0,0,1
PXN,0,0,0,0,0,1
ATP6V1B2,0,0,0,0,0,1
TUBA1B,1,0,0,0,0,1
RBBP7,0,0,0,0,0,1
SDHA,0,0,0,0,0,1
RPS29,0,0,0,0,0,1
DAP,1,0,0,0,0,1
ARF4,0,0,0,0,0,1
COPB2,0,0,0,0,0,1
USP9X,0,0,0,0,0,1
PFKL,0,0,0,0,0,1
LGALS1,1,0,0,0,0,1
GPX4,0,0,1,0,0,1
THBS1,1,0,0,0,0,1
CSE1L,0,0,0,0,0,1
TUFM,0,0,0,0,0,1
PSMA7,1,0,0,0,0,1
POLD2,0,0,0,0,0,1
